,Instance,,,,
Experiment,1,2,3,4,5
1,"6,127882","18,365272","26,977819","35,983574","45,212996"
2,"5,57425","18,635003","26,806025","35,777755","44,290519"
3,"5,53296","17,393821","26,021122","35,514048","45,152132"
4,"5,715346","17,614156","26,599553","35,565762","43,317708"
5,"5,797461","17,809306","26,895069","35,891668","43,800261"
6,"6,047752","18,098715","26,302721","35,593743","44,912141"
7,"6,612178","17,689082","26,525753","35,800153","45,042086"
8,"7,055066","17,752883","24,195395","34,852819","43,982575"
9,"7,976357","17,744968","26,219026","35,940635","45,111824"
10,"9,136238","17,496251","26,747719","37,183685","44,796329"
11,"7,310336","17,695521","26,792086","36,046577","44,809904"
12,"7,973966","17,828348","26,798736","34,562618","45,037247"
13,"8,724133","17,571965","26,828767","28,842308","44,941082"
14,"8,32672","17,568134","26,735406","36,108024","45,150896"
15,"8,33572","17,519966","24,209271","35,744847","43,231831"
AVG,"7,083091","17,7855594","26,3102978666667","35,2938810666667","44,5859687333333"
